Fecha;Referencia;Descripci—n;Importe;Saldo
25/1/18;15143;TR/OB 57753240 ALEJANDRO;-400.000,00;655.019,03
25/1/18;15142;SANDRO KE MEN           ;-55.000,00;1.055.019,03
25/1/18;15141;A/E CRED.INSTANT.       ;150.000,00;1.110.019,03
24/1/18;15140;TPBW V0006551813   01080;-1.500.000,00;960.019,03
24/1/18;15139;COM.NRO.RETIRO          ;-13;2.460.019,03
24/1/18;15138;RETIRO CAJERO           ;-15.000,00;2.460.032,03
23/1/18;15137;TR/OB 57043971 ESTHER CA;-200.000,00;2.475.032,03
23/1/18;15136;CTRO.MEDICO DCTE.LA TRIN;-6.000,00;2.675.032,03
23/1/18;15135;LOCATEL CENTRO MEDICO LA;-2.099.325,91;2.681.032,03
23/1/18;15134;LOCATEL CENTRO MEDICO LA;-515.029,54;4.780.357,94
23/1/18;15133;CTRO.MEDICO DCTE.LA TRIN;-1.444.525,60;5.295.387,48
23/1/18;15132;04241958988  MOVISTAR RE;-40.000,00;6.739.913,08
23/1/18;15131;INVERSIONES LKR 0475 C  ;-340.000,00;6.779.913,08
22/1/18;15130;4540422910835581      NE;-922,97;7.119.913,08
22/1/18;15129;5406285295883694      NE;-109.134,99;7.120.836,05
22/1/18;15128;TPBW V0005572115   01080;-1.000.000,00;7.229.971,04
22/1/18;15127;SOMOS NATURAL LOOK      ;-500.000,00;8.229.971,04
22/1/18;15126;COMERCIAL PLASTICOS CA  ;-350.000,00;8.729.971,04
